jachshore,Just got mcdonalds goddam those eggs make me sick. O yeah Laker up date go lakers. Not much of an update? Well it's true so suck it
MamiYessi,omgg i ohhdee want mcdonalds damn i wonder if its open lol =]
jvici0us,History exam studying ugh
enriquenieto,"I hate revision, it's so boring! I am totally unprepared for my exam tomorrow :( Things are not looking good..."
Drummermatt_182,"Higher physics exam tommorow, not lookin forward to it much :("
filmcriticbeta,"It's a bank holiday, yet I'm only out of work now. Exam season sucks:("
lvlocal,Cheney and Bush are the real culprits - http://fwix.com/article/939496
QCWofNC,Life?s a bitch? and so is Dick Cheney. #p2 #bipart #tlot #tcot #hhrs #GOP #DNC http://is.gd/DjyQ
jepaco,"Dick Cheney's dishonest speech about torture, terror, and Obama. -Fred Kaplan Slate. http://is.gd/DiHg"
ImportantQuotes,"""The Republican party is a bunch of anti-abortion zealots who couldn't draw flies to a dump."" -- Neal Boortz (just now, on the radio)"
fwhamm,is Twitter's connections API broken? Some tweets didn't make it to Twitter...
jos897,"i srsly hate the stupid twitter API timeout thing, soooo annoying!!!!! :("
jystewart,"@psychemedia I really liked @kswedberg's ""Learning jQuery"" book. http://bit.ly/pg0lT is worth a look too"
cfbloggers,jQuery UI 1.6 Book Review - http://cfbloggers.org/?c=30631
CaerusMe,"Very Interesting Ad from Adobe by Goodby, Silverstein &amp; Partners - YouTube - Adobe CS4: Le Sens Propre http://bit.ly/VprpT"
HallandPartners,Goodby Silverstein agency new site! http://www.goodbysilverstein.com/ Great!
suedecrush,"RT @designplay Goodby, Silverstein's new site: http://www.goodbysilverstein.com/ I enjoy it. *nice find!*"
_imageworks,The ever amazing Psyop and Goodby Silverstein &amp
dustinrowley,top ten most watched on Viral-Video Chart.  Love the nike #mostvaluablepuppets campaign from Wieden &amp
xzela,zomg!!! I have a G2!!!!!!!
mobiledreams,Ok so lots of buzz from IO2009 but how lucky are they - a Free G2!! http://is.gd/Hyzl
crashfaster,just got a free G2 android at google i/o!!!
dragonal,Guess I'll be retiring my G1 and start using my developer G2 woot #googleio
mastooo,At GWT fireside chat @googleio
maex242,I am happy for Philip being at GoogleIO today
specs20,Lakers played great!  Cannot wait for Thursday night Lakers vs. ???
BrandKarma,"Hi there, does anyone have a great source for advice on viral marketing?... http://link.gs/YtZ8"
mattcad,Judd Apatow creates fake sitcom on NBC.com to market his new movie... viral marketing at its best. http://is.gd/K0yK
grahamgrimshaw,"Here's A case study on how to use viral marketing to add over 10,000 people to your list http://snipr.com/i50oz"
nicoleisms,VIRAL MARKETING FAIL. This Acia Pills brand oughta get shut down for hacking into people's messenger's.  i get 5-6 msgs in a day! Arrrgh!
Cristinellaa,watching Night at The Museum . Lmao
MzJill,i loved night at the museum!!!
Lynn_Sky,going to see the new night at the museum  movie with my family oh boy a three year old in the movies fuin
bobster56,just got back from the movies.  went to see the new night at the museum with rachel.  it was good
jordanforeman,Just saw the new Night at the Museum movie...it was...okay...lol 7\10
britree,Going to see night at the museum 2 with tall boy
jellz,@shannyoday I will take you on a date to see night at the museum 2 whenever you want...it looks soooooo good
droherty,no watching The Night At The Museum. Getting Really Good
sarahbrooke,"Night at the Museum, Wolverine and junk food - perfect monday!"
jeremyempire,saw night at the museum 2 last night.. pretty crazy movie.. but the cast was awesome so it was well worth it. Robin Williams forever!
MirandaClues,I saw Night at the Museum: Battle of the Swithsonian today. It was okay. Your typical [kids] Ben Stiller movie.
RGuad08,Taking Katie to see Night at the Museum.  (she picked it)
xshallsx,Night at the Museum tonite instead of UP. :( oh well. that 4 yr old better enjoy it. LOL
EconomyUpdates,GM says expects announcment on sale of Hummer soon - Reuters: WDSUGM says expects announcment on sale of Hummer .. http://bit.ly/4E1Fv
mshbrown,It's unfortunate that after the Stimulus plan was put in place twice to help GM on the back of the American people has led to the inevitable
misschris62,Tell me again why we are giving more $$ to GM?? We should use that $ for all the programs that support the unemployed.
artbynemo,@jdreiss oh yes but if GM dies it will only be worth more boo hahaha
windhamgirl,Time Warner cable is down again 3rd time since Memorial Day bummer!
mmmPi,"I would rather pay reasonable yearly taxes for ""free"" fast internet, than get gouged by Time Warner for a slow connection."
NDEddieMac,NOOOOOOO my DVR just died and I was only half way through the EA presser. Hate you Time Warner
yourboysdot,F*ck Time Warner Cable!!! You f*cking suck balls!!! I have a $700 HD tv &amp
Shazzainla,time warner has the worse customer service ever. I will never use them again
dstalk,Time warner is the devil. Worst possible time for the Internet to go out.
ernestalfonso,Fuck no internet damn time warner!
kaaatiee,time warner really picks the worst time to not work. all i want to do is get to mtv.com so i can watch the hills. wtfffff.
JasonNegron,I hate Time Warner! Soooo wish I had Vios. Cant watch the fricken Mets game w/o buffering. I feel like im watching free internet porn.
elphabablue,Ahh...got rid of stupid time warner today &amp
gabe_rp,Time Warner's HD line up is crap.
JoeyCircles,is being fucked by time warner cable. didnt know modems could explode. and Susan Boyle sucks too!
ScooPost,Time Warner Cable Pulls the Plug on 'The Girlfriend Experience' - (www.tinyurl.com/m595fk)
adamjleach,Time Warner Cable slogan: Where calling it a day at 2pm Happens.
HYPHYROCKSTAR,"Rocawear Heads to China, Building 300 Stores  - http://tinyurl.com/nofet3"
BreakingBizNews,"Climate focus turns to Beijing: The United Nations, the US and European governments have called on China to co-o.. http://tinyurl.com/lto92n"
myfoxdc,myfoxdc Barrie Students Back from Trip to China: A Silver Spring high school's class trip to China has en.. http://tinyurl.com/nlhqba
drlombardo,"Three China aerospace giants develop Tianjin Binhai  New Area,  22.9 B yuan invested   http://bit.ly/mMiDv"
sinostream,http://xi.gs/04FO GM CEO: China will continue to be key partner
hammerauto,RT @LATimesautos is now the time to buy a GM car? http://bit.ly/nRzlu
scoralli,Recovering from surgery..wishing @julesrenner was here :(
sardonnica,"My wrist still hurts. I have to get it looked at. I HATE the dr/dentist/scary places. :( Time to watch Eagle eye. If you want to join, txt!"
BChasnov,Dentist tomorrow. Have to brush well in the morning. Like I make my hair all nice before I get it cut. Why?
LILJIZZEL,"THE DENTIST LIED! "" U WON'T FEEL ANY DISCOMORT! PROB WON'T EVEN NEED PAIN PILLS"" MAN U TWIPPIN THIS SHIT HURT!! HOW MANY PILLS CAN I TAKE!!"
giz2000,@kirstiealley my dentist is great but she's expensive...=(
cmonaussiecmon,@kirstiealley Pet Dentist http://www.funnyville.com/fv/pictures/dogdentures.shtml
sorayabouby,is studing math 
jeffreymodest,my dentist was wrong... WRONG
yowneh,Going to the dentist later.:|
CWilliams_Rltr,Son has me looking at cars online.  I hate car shopping.  Would rather go to the dentist!  Anyone with a good car at a good price to sell?
SimpleManJess,NCAA Baseball Super Regional - Rams Club http://bit.ly/Ro7nx
H3LLGWAR,just started playing Major League Baseball 2K9. http://raptr.com/H3LLGWAR
LouisvilleGrads,Cardinals baseball advance to Super Regionals. Face CS-Fullerton Friday.
SwainFamily,Sony coupon code.. Expires soon.. http://www.coupondork.com/r/1796
neeeelia,waiting in line at safeway.
ryanlipert,luke and i got stopped walking out of safeway and asked to empty our pockets and lift our shirts. how jacked up is that?
evan,Did not realize there is a gym above Safeway!
ronjon,"@XPhile1908 I have three words for you: ""Safeway dot com"""
missleigh,Safeway is very rock n roll tonight
SharkKMV,Bout to hit safeway I gotta eat
bosZmom,Jake's going to safeway!
penlynwilson,Found a safeway. Picking up a few staples.
mobileadgirl,Safeway Super-marketing via mobile coupons http://bit.ly/ONH7w
phantomzangel,The safeway bathroom still smells like ass!
BreezB,"At safeway on elkhorn, they move like they're dead!"
nonstopdiets,Your Normal Weight (and How to Get There) ? Normal Eating Blog http://bit.ly/ZeT8O
janelleshanks,Is Eating and Watching Movies....
hanaho,eating sashimi
Fiel,is eating  home made yema
aaindefenzo,eating cake
CrownRoyal8,i love Dwight Howard's vitamin water commercial... now i wish he was with NIKE and not adidas. lol.
MrGQ,Found NOTHING at Nike Factory :/ Off to Banana Republic Outlet! http://myloc.me/2zic
ngngfrancis,iPhone May Get Radio Tagging and Nike  : Recently-released iTunes version 8.2 suggests that VoiceOver functional.. http://tinyurl.com/oq5ctc
mikelongden,is lovin his Nike  already and that's only from running on the spot in his bedroom
imgsearch,Launched! http://imgsearch.net  #imgsearch #ajax #jquery #webapp
teagone,@matthewcyan I finally got around to using jquery to make my bio collapse. Yay for slide animations.
marcroberts,RT @jquery: The Ultimate jQuery List - http://jquerylist.com/
jacobrothstein,I just extracted and open-sourced a jQuery plugin from Stormweight to highlight text with a regular expression: http://bit.ly/ybJKb
bedroomation,@anna_debenham what was the php jquery hack?
vmkobs,jQuery Cheat Sheet http://www.javascripttoolbox.com/jquery/cheatsheet/
NewTechBooks,Beginning JavaScript and CSS Development with jQuery #javascript #css #jquery http://bit.ly/TO3e5
adthomas3,"@PDubyaD right!!! LOL we'll get there!! I have high expectations, Warren Buffet style."
Alfred04654,"RT @blknprecious1: RT GREAT @dbroos ""Someone's sitting in the shade today because someone planted a tree a long time ago.""- Warren Buffet"
LovelyMiska,Warren Buffet on the economy http://ping.fm/Lau0p
adamgilmer,"Warren Buffet became (for a time) the richest man in the United States, not by working but investing in 1 Big idea which lead to the fortune"
PatfaceCatface,"According to the create a school, Notre Dame will have 7 receivers in NCAA 10 at 84 or higher rating :) *sweet*"
MY_NBA_PLAYOFFS,All-Star Basketball Classic Tuesday Features Top Talent: Chattanooga's Notre Dame High School will play host.. http://bit.ly/qltJA
rachaelbender,@BlondeBroad it's definitely under warranty &amp
aqrinc,"RT Look, Available !Amazon Kindle2 &amp; Kindle DX, Get it Here: http://short.to/87ub The Top Electronic Book Reader Period, free 2 day ship ..."
davepurcell,Time Warner Road Runner customer support here absolutely blows. I hate not having other high-speed net options. I'm ready to go nuclear.
MarleyLuv26,Time Warner cable phone reps r dumber than nails!!!!! UGH! Cable was working 10 mins ago now its not WTF!
acomicbookgirl,@siratomofbones we tried but Time Warner wasn't being nice so we recorded today. :)
MichelleEReagan,OMG - time warner f'ed up my internet install - instead of today  its now NEXT saturday - another week w/o internet! &amp
jpaje11,"wth..i have never seen a line this loooong at time warner before, ugh."
JessSlevin,Impatiently awaiting the arrival of the time warner guy. It's way too pretty to be inside all afternoon
jworthington,Man accosts Roger Federer during French Open http://ff.im/3HCPT
R0B3rt2,Naive Bayes using EM for Text Classification. Really Frustrating...
TammyT,We went to Stanford University today. Got a tour. Made me want to go back to college. It's also decided all of our kids will go there.
elliottng,Investigation pending on death of Stanford CS prof / Google mentor Rajeev Motwani http://bit.ly/LwOUR tip @techmeme
Shibuki_kun,"I'm going to bed. It was a successful weekend. Stanford, here I come."
painhatelove,"@KarrisFoxy If you're being harassed by calls about your car warranty, changing your number won't fix that. They call every number. #d-bags"
russdavisdotcom,Just blocked United Blood Services using Google Voice. They call more than those Car Warranty guys.
jamesmakeseyes,#at&amp
mikeyil,@broskiii OH SNAP YOU WORK AT AT&amp
nakiasmile,@Mbjthegreat i really dont want AT&amp
wiiskey,"I say we just cut out the small talk: AT&amp;T's new slogan: F__k you, give us your money. (Apologies to Bob Geldof.)"
brkd,pissed about at&amp
jesusmbaez,Safari 4 is fast :) Even on my shitty AT&amp
ClaystationX,@ims What is AT&amp
matthewphewes,@springsingfiend @dvyers @sethdaggett @jlshack AT&amp
chelseabot,"@MMBarnhill yay, glad you got the phone! Still, damn you, AT&amp;T."
girgely,Google Wave Developer Sandbox Account Request http://bit.ly/2NYlc
StrategisAdv,"Talk is Cheap: Bing that, I?ll stick with Google. http://bit.ly/XC3C8"
fabulousaura,"@defsounds WTF is the point of deleting tweets if they can still be found in summize and searches? Twitter, please fix that. Thanks and bye"
drylight,@mattcutts have google profiles stopped showing up in searches? cant see them anymore
ManiKarthik,@ArunBasilLal I love Google Translator too ! :D Good day mate !
jhall515,reading on my new Kindle2!
HappyWino,My Kindle2 came and I LOVE it! :)
Teaguem2005,"LOVING my new Kindle2.  Named her Kendra in case u were wondering. The ""cookbook"" is THE tool cuz it tells u all the tricks!  Best gift EVR!"
dailysourcedev,The real AIG scandal / http://bit.ly/b82Px
gandhirama,Any twitter to aprs apps yet?
delpop,45 Pros You Should Be Following on Twitter - http://is.gd/sMbZ
lingbellbell,Obama is quite a good comedian! check out his dinner speech on CNN :) very funny jokes.
motsandco,"' Barack Obama shows his funny side "" &gt;&gt; http://tr.im/l0gY !! Great speech.."
mickou,"I like this guy : ' Barack Obama shows his funny side "" &gt;&gt; http://tr.im/l0gY !!"
meggentile,Obama's speech was pretty awesome last night! http://bit.ly/IMXUM
failness,"Reading  ""Bill Clinton Fail - Obama Win?"" http://tinyurl.com/pcyxj7"
kledy,Obama More Popular Than U.S. Among Arabs: Survey: President Barack Obama's popularity in leading Arab countries .. http://tinyurl.com/prlvqu
LaurelEdelstein,Obama's got JOKES!! haha just got to watch a bit of his after dinner speech from last night... i'm in love with mr. president 
chelseabigass,LEbron james got in a car accident i guess..just heard it on evening news...wow i cant believe it..will he be ok ? http://twtad.com/69750
Smitty478,is it me or is this the best the playoffs have been in years oh yea lebron and melo in the finals
PurpleGorillaZz,"@khalid0456 No, Lebron is the best"
MsStacha,@the_real_usher LeBron is cool.  I like his personality...he has good character.
undefeated310,Watching Lebron highlights. Damn that niggas good
BI_POLAROID,@Lou911 Lebron is MURDERING shit.
IAmNoeAngel,@uscsports21 LeBron is a monsta and he is only 24. SMH The world ain't ready.
ksmedia,@cthagod when Lebron is done in the NBA he will probably be greater than Kobe. Like u said Kobe is good but there alot of 'good' players.
PrEttIBoIGaRy,KOBE IS GOOD BT LEBRON HAS MY VOTE
kellan38,Kobe is the best in the world not lebron .
jsincere150,"@asherroth World Cup 2010 Access?? Damn, that's a good look!"
biren,Just bought my tickets for the 2010 FIFA World Cup in South Africa. Its going to be a great summer. http://bit.ly/9GEZI
DoAndroidsDream,Share: Disruption...Fred Wilson's slides for his talk at Google HQ  http://bit.ly/Bo8PG
Moc5085,I have to go to Booz Allen Hamilton for a 2hr meeting :(  But then i get to go home :)
citizenofindia,"The great Indian tamasha truly will unfold from May 16, the result day for Indian General Election."
Melonze,"@crlane I have the Kindle2. I've seen pictures of the DX, but haven't seen it in person. I love my Kindle - I'm on it everyday."
SPReviews,@criticalpath Such an awesome idea - the  continual learning program with a Kindle2  http://bit.ly/1ZLfF
ha_nobita,ok.. do nothing.. just thinking about 40D
Jen2Squared,"@faithbabywear Ooooh, what model are you getting??? I have the 40D and LOVE LOVE LOVE LOVE it!"
__new,The Times of India: The wonder that is India's election. http://bit.ly/p7u1H
BillVick,http://is.gd/ArUJ Good video from Google on using search options.
xmikeflhxcx,@ambcharlesfield lol. Ah my skin is itchy :( damn lawnmowing.
Timl9068,itchy back!! dont ya hate it!
PassionModel,Stanford Charity Fashion Show a top draw http://cli.gs/NeNuAH
TechUpdater,Stanford University?s Facebook Profile is One of the Most Popular Official University Pages - http://tinyurl.com/p5b3fl
robotickilldozr,Lyx is cool.
TheDALiSiA,SOOO DISSAPOiNTED THEY SENT DANNY GOKEY HOME... YOU STiLL ROCK ...DANNY ... MY HOMETOWN HERO !! YEAH MiLROCKEE!!
fashion_retweet,"RT @PassionModel 'American Idol' fashion: Adam Lambert tones down, Danny Gokey cute ... http://cli.gs/7JWSHV"
angelkim17,@dannygokey I love you DANNY GOKEY!! :)
download11,RT @justindavey: RT @tweetmeme GM OnStar now instantly sends accident location coordinates to 911 | GPS Obsessed http://bit.ly/16szL1
nichole17,so tired. i didn't sleep well at all last night.
xstaylor,Boarding plane for San Francisco in 1 hour
miwahh,bonjour San Francisco. My back hurts from last night..
bKnapp,"breakers. in San Francisco, CA http://loopt.us/4v88Bw.t"
rayceja,Heading to San Francisco
deepikaC,With my best girl for a few more hours in San francisco. Mmmmmfamily is wonderful!
kaaslaw,"F*** up big, or go home - AIG"
Pgobb,Went to see the Star Trek movie last night.  Very satisfying.
qrboy85,"I can't wait, going to see star trek tonight!!"
adamrisser,Star Trek was as good as everyone said!!
GoodPhoenix,am loving new malcolm gladwell book - outliers
silentcarto,I highly recommend Malcolm Gladwell's 'The Tipping Point.' My next audiobook will probably be one of his as well.
kerrrrrr,Malcolm Gladwell is a genius at tricking people into not realizing he's a fucking idiot
bling_crosby,"@sportsguy33 hey no offense but malcolm gladwell is a pretenious, annoying cunt and he brings you down. cant read his shit"
ripplemdk,RT @clashmore: http://bit.ly/SOYv7  Great article by Malcolm Gladwell.
drewlew34,I seriously underestimated Malcolm Gladwell.  I want to meet this dude.
MrsGinobili,i hate comcast right now. everything is down cable internet &amp
stormygirl223,Comcast sucks.
theZoctor,The day I never have to deal with Comcast again will rank as one of the best days of my life.
motkeps,@Dommm did comcast fail again??
YouAnswer,How do you use the twitter API?... http://bit.ly/4VBhH
marekdsi,curses the Twitter API limit
mikecane,"Now I can see why Dave Winer screams about lack of Twitter API, its limitations and access throttles!"
trivektor,testing Twitter API
rdoc420,Arg. Twitter API is making me crazy.
Hot_Tweets,Testing Twitter API. Remote Update
jeffswhite,I'm really loving the new search site Wolfram/Alpha. Makes Google seem so ... quaint. http://www72.wolframalpha.com/
marriop,"#wolfram Alpha SUCKS! Even for researchers the information provided is less than you can get from #google or #wikipedia, totally useless!"
kewpiezmom,Off to the NIKE factory!!!
Chet_Lemon,New nike muppet commercials are pretty cute. Why do we live together again?
sneakerfiles,New blog post: Nike Zoom LeBron Soldier 3 (III) - White / Black - Teal http://bit.ly/rouUS
nikeblog,New blog post: Nike Trainer 1 http://bit.ly/394bp
laurenornot,@Fraggle312 oh those are awesome! i so wish they weren't owned by nike :(
julieules,@tonyhawk http://twitpic.com/5c7uj - AWESOME!!! Seeing the show Friday at the Shoreline Amphitheatre. Never seen NIN before. Can't wait. ...
gux_kung,"arhh, It's weka bug. = ="" and I spent almost two hours to find that out. crappy me"
GrfxGuru,"@mitzs hey bud :) np I do so love my 50D, although I'd love a 5D mkII more"
joelgoodman,@jonduenas @robynlyn just got us a 50D for the office. :D
trevorcgibson,Just picked up my new Canon 50D...it's beautiful!!  Prepare for some seriously awesome photography!
ashpeckham,Just got my new toy. Canon 50D. Love love love it!
davidivins,Learning about lambda calculus :)
SCSanFrancisco,"#jobs #sittercity Help with taking care of sick child (East Palo Alto, CA) http://tinyurl.com/qwrr2m"
nfarzan,I'm moving to East Palo Alto!
tylerlin,@ atebits I just finished watching your Stanford iPhone Class session. I really appreciate it. You Rock!
souleaterjh,@jktweet Hi! Just saw your Stanford talk and really liked your advice. Just saying Hi from Singapore (yes the videos do get around)
MbaAdmission,#MBA Admissions Tips Stanford GSB Deadlines and Essay Topics 2009-2010 http://tinyurl.com/pet4fd
narain,Ethics and nonprofits - http://bit.ly/qsXRp  #stanford #socialentrepreneurship
JuanGir,LAKERS tonight let's go!!!!
Alexi_G,Will the Lakers kick the Nuggets ass tonight?
one_eighteen,Oooooooh... North Korea is in troubleeeee! http://bit.ly/19epAH
FOLKTALE09,Wat the heck is North Korea doing!!??!! They just conducted powerful nuclear tests! Follow the link: http://www.msnbc.msn.com/id/30921379
Mvsic,Listening to Obama... Friggin North Korea...
CFURNAROS,"I just realized we three monkeys in the white Obama.Biden,Pelosi . Sarah Palin 2012"
Rachael90210,@foxnews Pelosi should stay in China and never come back.
TylerSchmidt,Nancy Pelosi gave the worst commencement speech I've ever heard. Yes I'm still bitter about this
KayJay_x,ugh. the amount of times these stupid insects have bitten me. Grr..
BecCrew,Prettiest insects EVER - Pink Katydids: http://bit.ly/2Upw2p
euthanasia86,Just got barraged by a horde of insects hungry for my kitchen light. So scary.
connlocks,Just had McDonalds for dinner. :D It was goooood. Big Mac Meal. 
MamiYessi,AHH YES LOL IMA TELL MY HUBBY TO GO GET ME SUM MCDONALDS =]
Yuleineeee,Stopped to have lunch at McDonalds. Chicken Nuggetssss! :) yummmmmy.
XrachulX,Could go for a lot of McDonalds. i mean A LOT.
xKimmelie,my exam went good. @HelloLeonie: your prayers worked (:
laulaulauren,"Only one exam left, and i am so happy for it :D"
elllllen,Math review. Im going to fail the exam.
LPSsports43,Colin Powell rocked yesterday on CBS. Cheney needs to shut the hell up and go home.Powell is a man of Honor and served our country proudly
joahs,obviously not siding with Cheney here: http://bit.ly/19j2d
paulobsf,Absolutely hilarious!!! from @mashable:  http://bit.ly/bccWt
christinerose,@mashable I never did thank you for including me in your Top 100 Twitter Authors! You Rock! (&amp
cfbloggers,Learning jQuery 1.3 Book Review - http://cfbloggers.org/?c=30629
